record_id,region,country,date,network_type,operator,device_type,signal_strength_dbm,latency_ms,throughput_mbps,data_usage_gb,call_drop_rate,packet_loss_percent,jitter_ms,download_speed_mbps,upload_speed_mbps,num_connected_users,network_availability_percent,temperature_celsius,weather_condition
R00615,North,Netherlands,2023-01-26 14:00:00,5G,Vodafone,Smartphone,-94,59,134.16,0.83,1.34,0.8,4.65,273.09,20.46,626,99.07,19.4,Cloudy
R00616,East,Italy,2023-01-26 15:00:00,4G,Vodafone,Tablet,-72,84,62.89,19.81,1.77,0.97,3.94,241.76,28.88,245,95.77,32.3,Stormy
R00617,West,Italy,2023-01-26 16:00:00,5G,Telecom Italia,Tablet,-78,27,193.46,20.74,0.62,0.98,18.47,48.24,147.48,619,96.11,8.0,Clear
R00618,South,Spain,2023-01-26 17:00:00,5G,Vodafone,Tablet,-69,106,234.06,28.86,1.62,0.42,6.04,12.99,116.62,225,95.34,36.4,Clear
R00619,West,Italy,2023-01-26 18:00:00,5G,Deutsche Telekom,Router,-72,103,87.44,11.43,0.67,0.07,5.68,233.06,8.7,235,97.37,12.9,Rainy
R00620,West,Germany,2023-01-26 19:00:00,4G,Deutsche Telekom,Smartphone,-67,115,128.54,6.26,1.64,0.31,4.16,271.83,84.39,535,96.62,38.6,Cloudy
R00621,Central,Netherlands,2023-01-26 20:00:00,5G,Deutsche Telekom,Tablet,-85,30,40.76,15.86,0.1,0.31,11.02,103.41,55.07,726,97.13,25.4,Clear
R00622,South,Germany,2023-01-26 21:00:00,5G,Deutsche Telekom,Router,-78,90,233.15,13.7,0.01,0.1,13.86,103.03,50.17,184,95.04,11.5,Stormy
R00623,West,Netherlands,2023-01-26 22:00:00,4G,Telecom Italia,Router,-92,77,86.51,23.86,0.23,0.52,13.85,159.24,85.71,621,98.61,39.3,Rainy
R00624,West,Spain,2023-01-26 23:00:00,5G,Deutsche Telekom,Router,-63,113,56.75,27.17,1.75,0.6,5.96,205.62,51.42,364,96.0,21.7,Stormy
R00625,South,Italy,2023-01-27 00:00:00,4G,Orange,Smartphone,-82,67,124.82,3.06,1.07,0.73,2.8,197.82,41.48,443,96.84,29.6,Clear
R00626,South,Italy,2023-01-27 01:00:00,5G,Orange,Smartphone,-52,32,20.39,25.47,1.19,0.05,6.89,228.26,140.98,850,97.01,15.3,Rainy
R00627,West,Italy,2023-01-27 02:00:00,4G,Orange,Smartphone,-54,79,70.68,27.31,1.68,0.28,10.57,43.06,10.78,740,95.33,0.4,Clear
R00628,South,Netherlands,2023-01-27 03:00:00,4G,Vodafone,Router,-64,68,26.24,27.76,0.1,0.36,12.64,160.75,68.24,172,96.83,38.4,Rainy
R00629,West,Italy,2023-01-27 04:00:00,5G,O2,Smartphone,-92,86,40.57,23.05,0.77,0.89,6.14,156.84,79.12,895,99.5,9.5,Clear
R00630,West,Germany,2023-01-27 05:00:00,5G,Telecom Italia,Tablet,-76,26,36.92,22.39,1.29,0.9,4.48,285.46,68.79,981,99.47,36.3,Rainy
R00631,Central,Italy,2023-01-27 06:00:00,4G,Orange,Router,-75,96,219.38,0.94,0.81,0.26,16.99,276.29,100.3,416,95.12,35.8,Clear
R00632,North,Spain,2023-01-27 07:00:00,4G,Orange,Smartphone,-93,44,233.3,27.65,0.06,0.49,17.3,227.59,8.72,855,95.15,-0.7,Stormy
R00633,West,Germany,2023-01-27 08:00:00,5G,Deutsche Telekom,Router,-71,42,123.89,10.87,1.3,0.42,6.32,264.31,133.32,293,97.97,0.2,Stormy
R00634,East,Italy,2023-01-27 09:00:00,5G,Orange,Router,-92,70,161.3,1.71,0.78,0.53,11.64,226.23,77.53,872,96.02,22.5,Stormy
R00635,North,Italy,2023-01-27 10:00:00,5G,Deutsche Telekom,Smartphone,-85,66,177.02,12.68,0.04,0.29,9.36,218.94,85.28,463,99.49,-3.4,Cloudy
R00636,North,France,2023-01-27 11:00:00,5G,Deutsche Telekom,Router,-80,116,103.92,22.12,0.34,0.46,3.7,72.56,72.1,843,97.41,14.0,Cloudy
R00637,North,Netherlands,2023-01-27 12:00:00,4G,O2,Smartphone,-60,24,98.85,13.54,0.44,0.15,18.87,189.0,69.45,400,96.63,18.8,Rainy
R00638,Central,Germany,2023-01-27 13:00:00,4G,Vodafone,Smartphone,-90,115,172.14,22.86,1.02,0.71,1.19,275.66,32.07,859,99.77,3.9,Cloudy
R00639,West,France,2023-01-27 14:00:00,4G,Deutsche Telekom,Smartphone,-65,113,100.41,15.53,0.37,0.37,4.56,227.54,78.14,480,96.59,29.7,Cloudy
R00640,Central,Spain,2023-01-27 15:00:00,5G,Deutsche Telekom,Router,-56,114,149.44,9.33,0.72,0.54,7.57,185.37,66.1,964,96.6,14.4,Clear
R00641,West,Netherlands,2023-01-27 16:00:00,5G,O2,Router,-83,32,133.65,6.49,1.5,0.6,17.27,84.87,72.88,921,95.67,14.0,Cloudy
R00642,Central,Germany,2023-01-27 17:00:00,4G,Deutsche Telekom,Smartphone,-73,61,135.87,12.92,1.62,0.84,15.98,206.81,7.01,638,96.11,5.5,Cloudy
R00643,Central,Italy,2023-01-27 18:00:00,4G,Telecom Italia,Router,-92,24,209.05,1.56,1.59,0.08,12.02,110.65,23.98,136,98.8,35.0,Cloudy
R00644,East,Germany,2023-01-27 19:00:00,4G,Vodafone,Smartphone,-59,42,178.97,12.97,1.39,0.48,14.21,28.92,115.66,641,98.8,-4.5,Cloudy
R00645,Central,Italy,2023-01-27 20:00:00,4G,Telecom Italia,Tablet,-54,81,240.56,2.52,1.08,0.89,7.48,79.41,65.77,458,96.93,-4.7,Rainy
R00646,South,Netherlands,2023-01-27 21:00:00,4G,Orange,Router,-59,20,199.83,26.37,1.1,0.33,18.87,122.88,112.72,430,96.75,39.8,Cloudy
R00647,East,Italy,2023-01-27 22:00:00,4G,Vodafone,Router,-52,93,44.99,17.48,1.91,0.44,1.51,299.03,29.81,523,97.09,-4.1,Rainy
R00648,Central,Spain,2023-01-27 23:00:00,5G,Orange,Tablet,-63,110,187.24,19.56,1.76,0.09,2.92,230.43,106.24,942,96.5,2.0,Stormy
R00649,North,Italy,2023-01-28 00:00:00,4G,Deutsche Telekom,Tablet,-54,73,169.76,9.02,1.3,0.75,18.59,91.07,46.92,134,98.04,34.7,Cloudy
R00650,South,Spain,2023-01-28 01:00:00,4G,O2,Tablet,-67,91,165.05,7.16,0.94,0.09,18.96,231.09,107.24,835,99.18,22.7,Stormy
R00651,South,Netherlands,2023-01-28 02:00:00,4G,Telecom Italia,Smartphone,-59,22,125.38,21.38,1.46,0.63,10.32,113.72,17.58,826,95.05,23.1,Clear
R00652,South,Netherlands,2023-01-28 03:00:00,4G,Orange,Smartphone,-77,102,24.99,20.31,0.13,0.37,11.95,186.29,53.38,521,99.68,16.4,Cloudy
R00653,East,Germany,2023-01-28 04:00:00,4G,Deutsche Telekom,Tablet,-76,83,238.36,4.12,1.89,0.34,18.15,231.76,22.31,672,95.59,1.8,Clear
R00654,Central,Spain,2023-01-28 05:00:00,4G,Telecom Italia,Smartphone,-64,70,214.46,7.54,1.1,0.59,17.22,224.84,96.3,409,99.5,11.5,Stormy
R00655,Central,Spain,2023-01-28 06:00:00,4G,Telecom Italia,Router,-52,21,126.83,28.42,1.01,0.57,17.38,50.61,61.93,834,96.17,27.3,Stormy
R00656,North,France,2023-01-28 07:00:00,5G,Orange,Tablet,-80,68,48.06,9.47,0.58,0.41,8.06,249.41,15.77,911,99.59,16.8,Cloudy
R00657,North,France,2023-01-28 08:00:00,4G,Deutsche Telekom,Router,-91,50,207.87,1.26,0.01,0.28,16.78,277.65,81.32,949,98.94,27.8,Cloudy
R00658,South,France,2023-01-28 09:00:00,5G,O2,Smartphone,-84,93,113.36,2.38,0.12,0.51,2.32,77.69,8.61,360,96.35,-4.7,Clear
R00659,North,Italy,2023-01-28 10:00:00,5G,Orange,Tablet,-51,99,103.63,23.38,0.53,0.27,10.25,105.53,123.68,359,95.14,24.5,Rainy
R00660,East,France,2023-01-28 11:00:00,5G,Telecom Italia,Smartphone,-75,103,169.69,22.84,1.08,0.1,5.51,282.08,141.06,973,98.58,21.7,Stormy
R00661,Central,Spain,2023-01-28 12:00:00,4G,Telecom Italia,Router,-82,22,192.08,11.76,0.17,0.8,1.68,295.27,122.46,154,99.11,38.8,Stormy
R00662,South,Italy,2023-01-28 13:00:00,4G,Vodafone,Smartphone,-59,54,25.08,5.02,1.94,0.7,12.73,141.51,142.97,473,98.4,35.8,Clear
R00663,North,Netherlands,2023-01-28 14:00:00,4G,Deutsche Telekom,Router,-74,117,194.21,15.19,0.82,0.08,2.45,20.02,135.08,826,96.91,22.0,Rainy
R00664,East,Germany,2023-01-28 15:00:00,4G,Vodafone,Smartphone,-66,104,186.15,10.29,0.63,0.16,3.28,280.54,134.76,725,95.64,20.9,Clear
R00665,East,France,2023-01-28 16:00:00,4G,O2,Router,-73,55,151.41,11.53,1.05,0.1,2.55,17.36,40.59,697,96.74,-0.8,Stormy
R00666,North,Netherlands,2023-01-28 17:00:00,4G,Orange,Smartphone,-91,83,91.22,8.2,0.13,0.79,19.53,105.76,38.52,239,96.34,37.3,Stormy
R00667,Central,Spain,2023-01-28 18:00:00,4G,Telecom Italia,Tablet,-67,51,49.55,2.35,1.7,0.77,1.75,36.01,122.37,301,98.62,26.8,Cloudy
R00668,North,Germany,2023-01-28 19:00:00,4G,Deutsche Telekom,Tablet,-66,37,34.64,23.84,0.92,0.41,6.13,158.41,76.25,263,95.8,17.6,Rainy
R00669,South,Netherlands,2023-01-28 20:00:00,4G,Telecom Italia,Smartphone,-78,53,10.28,18.74,0.36,0.82,13.39,20.9,141.64,522,99.1,33.6,Rainy
R00670,North,Germany,2023-01-28 21:00:00,4G,Vodafone,Router,-95,75,59.55,25.12,0.32,0.97,16.64,75.37,135.1,171,98.06,27.9,Cloudy
R00671,East,France,2023-01-28 22:00:00,5G,Vodafone,Smartphone,-57,86,108.72,15.34,0.72,0.97,12.56,143.06,134.51,866,97.41,20.4,Rainy
R00672,North,Spain,2023-01-28 23:00:00,4G,Orange,Tablet,-79,72,68.47,29.56,1.15,0.98,19.55,31.51,52.29,375,96.8,19.3,Clear
R00673,Central,Germany,2023-01-29 00:00:00,4G,Deutsche Telekom,Router,-93,86,84.15,28.89,0.83,0.85,7.42,149.32,24.27,267,97.54,36.7,Rainy
R00674,West,Netherlands,2023-01-29 01:00:00,4G,Deutsche Telekom,Smartphone,-54,110,103.71,8.52,1.19,0.22,9.97,86.88,103.3,219,97.7,31.0,Stormy
R00675,North,France,2023-01-29 02:00:00,5G,Orange,Smartphone,-89,85,83.98,11.92,1.41,0.06,16.6,87.4,68.88,307,96.18,13.1,Clear
R00676,Central,France,2023-01-29 03:00:00,4G,Vodafone,Router,-69,83,183.91,22.7,1.5,0.81,13.95,281.74,140.42,720,99.94,23.3,Clear
R00677,Central,Netherlands,2023-01-29 04:00:00,4G,Vodafone,Smartphone,-68,86,128.01,23.41,0.8,0.31,5.07,210.17,128.81,125,99.55,3.8,Stormy
R00678,East,Netherlands,2023-01-29 05:00:00,5G,Vodafone,Tablet,-52,100,14.64,27.37,1.43,0.34,10.47,279.55,139.68,836,96.95,37.0,Cloudy
R00679,Central,Germany,2023-01-29 06:00:00,4G,Telecom Italia,Tablet,-65,58,64.4,19.75,0.28,0.07,19.54,176.95,87.34,682,96.27,26.3,Stormy
R00680,Central,Italy,2023-01-29 07:00:00,5G,O2,Router,-81,57,180.32,14.52,1.03,0.71,17.4,273.08,81.3,406,96.54,38.2,Cloudy
R00681,Central,France,2023-01-29 08:00:00,5G,Vodafone,Smartphone,-88,59,82.22,11.64,0.15,0.43,4.64,252.85,127.83,289,99.9,8.1,Cloudy
R00682,Central,Germany,2023-01-29 09:00:00,5G,O2,Smartphone,-90,38,230.83,12.87,0.49,0.2,4.42,299.37,79.22,406,97.04,9.2,Clear
R00683,South,Netherlands,2023-01-29 10:00:00,5G,O2,Tablet,-68,102,181.04,25.59,1.17,0.65,16.74,155.9,135.5,626,99.56,32.4,Rainy
R00684,South,Germany,2023-01-29 11:00:00,4G,Deutsche Telekom,Router,-92,24,79.58,29.41,1.48,0.98,4.78,211.88,9.99,367,95.3,6.8,Clear
R00685,East,Netherlands,2023-01-29 12:00:00,5G,Orange,Router,-66,88,133.94,2.03,0.19,0.5,9.6,56.59,57.02,749,98.88,11.1,Stormy
R00686,North,Spain,2023-01-29 13:00:00,5G,Telecom Italia,Router,-53,33,170.14,17.62,0.41,0.61,4.43,282.45,126.05,147,98.81,34.8,Rainy
R00687,Central,Netherlands,2023-01-29 14:00:00,4G,O2,Tablet,-79,110,56.41,15.84,1.98,0.16,1.28,125.64,35.44,833,98.25,18.3,Clear
R00688,North,Netherlands,2023-01-29 15:00:00,4G,Telecom Italia,Tablet,-62,68,69.08,11.6,0.68,0.16,17.63,275.82,62.85,154,95.61,8.5,Cloudy
R00689,North,Netherlands,2023-01-29 16:00:00,4G,Deutsche Telekom,Router,-90,83,131.71,25.62,0.57,0.46,15.8,39.21,6.46,696,99.91,13.4,Cloudy
R00690,East,Italy,2023-01-29 17:00:00,5G,Vodafone,Router,-60,119,231.97,17.48,0.17,0.84,9.94,159.42,48.75,894,96.06,27.0,Clear
R00691,Central,Netherlands,2023-01-29 18:00:00,4G,O2,Smartphone,-61,76,92.56,9.74,1.39,0.91,4.03,10.41,51.2,245,98.55,2.1,Stormy
R00692,Central,France,2023-01-29 19:00:00,5G,Orange,Smartphone,-57,54,106.51,13.6,1.02,0.64,16.32,130.65,111.22,792,98.76,38.3,Rainy
R00693,West,France,2023-01-29 20:00:00,5G,Deutsche Telekom,Router,-57,104,55.75,11.03,0.32,0.36,7.83,34.12,103.21,763,98.8,17.2,Clear
R00694,North,Germany,2023-01-29 21:00:00,4G,Telecom Italia,Tablet,-80,24,152.37,13.19,1.27,0.75,13.58,140.26,69.52,957,99.13,29.4,Cloudy
R00695,North,Italy,2023-01-29 22:00:00,4G,Vodafone,Tablet,-94,107,187.64,2.6,1.05,0.29,7.02,171.18,110.63,653,99.95,26.6,Cloudy
R00696,South,Germany,2023-01-29 23:00:00,4G,Telecom Italia,Smartphone,-88,58,115.75,3.8,1.13,0.22,9.21,257.16,67.11,950,95.48,25.6,Cloudy
R00697,West,France,2023-01-30 00:00:00,4G,Orange,Router,-81,43,190.06,18.9,1.99,0.8,11.17,95.68,68.02,397,97.36,13.9,Stormy
R00698,South,France,2023-01-30 01:00:00,4G,O2,Tablet,-69,59,82.63,20.68,0.06,0.75,15.48,174.37,98.61,96,99.87,-3.1,Rainy
R00699,South,Spain,2023-01-30 02:00:00,4G,Orange,Tablet,-80,69,179.68,19.28,1.83,0.88,16.81,29.27,109.82,572,99.41,28.4,Clear
R00700,South,Netherlands,2023-01-30 03:00:00,5G,Telecom Italia,Tablet,-95,96,72.0,23.01,1.68,0.58,9.43,274.92,127.8,211,99.95,37.9,Rainy
R00701,East,France,2023-01-30 04:00:00,5G,Telecom Italia,Tablet,-86,77,197.36,28.33,0.83,0.9,5.43,141.0,113.95,512,97.91,17.7,Clear
R00702,East,Germany,2023-01-30 05:00:00,4G,Orange,Smartphone,-89,20,209.35,25.89,1.76,0.03,3.92,83.25,102.2,612,98.36,37.9,Stormy
R00703,South,Germany,2023-01-30 06:00:00,5G,Orange,Tablet,-86,62,201.45,12.85,1.3,0.25,7.47,144.34,86.41,566,96.32,19.1,Clear
R00704,West,Netherlands,2023-01-30 07:00:00,5G,Orange,Tablet,-84,58,61.71,6.92,1.78,0.8,16.23,149.64,49.68,353,97.29,2.5,Cloudy
R00705,North,Netherlands,2023-01-30 08:00:00,5G,Vodafone,Router,-79,29,176.62,9.7,1.19,0.42,6.21,225.56,42.86,848,95.1,5.8,Cloudy
R00706,West,Spain,2023-01-30 09:00:00,5G,Telecom Italia,Router,-51,21,139.25,17.84,0.43,0.24,1.9,292.63,127.27,473,98.6,33.9,Stormy
R00707,Central,Italy,2023-01-30 10:00:00,5G,Deutsche Telekom,Smartphone,-84,82,246.65,25.76,1.15,0.8,11.72,63.98,109.01,440,99.63,23.0,Rainy
R00708,East,Germany,2023-01-30 11:00:00,5G,Vodafone,Smartphone,-81,35,96.78,21.2,0.36,0.82,1.64,25.8,101.48,916,95.56,13.6,Cloudy
R00709,North,Netherlands,2023-01-30 12:00:00,4G,Vodafone,Smartphone,-64,56,195.1,16.52,0.28,0.46,17.81,200.16,42.53,134,97.27,31.0,Clear
R00710,North,Germany,2023-01-30 13:00:00,4G,Vodafone,Smartphone,-64,35,98.82,18.26,1.31,0.47,13.88,266.53,145.62,345,98.12,23.9,Cloudy
R00711,Central,Netherlands,2023-01-30 14:00:00,4G,Deutsche Telekom,Tablet,-70,106,105.25,16.08,1.89,0.78,5.88,173.86,16.79,447,98.16,34.3,Clear
R00712,Central,France,2023-01-30 15:00:00,5G,Orange,Router,-82,109,36.64,29.16,1.18,0.77,9.91,33.16,126.55,531,96.53,38.7,Rainy
R00713,South,Germany,2023-01-30 16:00:00,4G,Telecom Italia,Tablet,-70,99,67.52,24.57,1.59,0.87,15.05,132.31,35.56,827,95.1,24.3,Cloudy
R00714,East,France,2023-01-30 17:00:00,4G,O2,Tablet,-91,46,49.48,23.55,0.34,0.65,18.4,199.87,61.88,899,99.44,38.7,Cloudy
R00715,East,Germany,2023-01-30 18:00:00,4G,O2,Tablet,-58,82,48.21,15.76,1.31,0.19,17.61,105.13,67.04,514,95.46,16.2,Clear
R00716,West,Italy,2023-01-30 19:00:00,5G,Telecom Italia,Router,-92,113,12.16,10.29,1.47,0.55,2.32,255.02,101.09,279,95.89,32.8,Stormy
R00717,South,Spain,2023-01-30 20:00:00,4G,Deutsche Telekom,Smartphone,-68,83,200.51,1.08,0.08,0.38,2.54,75.16,84.27,866,99.81,35.8,Stormy
R00718,South,France,2023-01-30 21:00:00,5G,O2,Smartphone,-95,116,122.3,1.78,0.19,0.03,12.36,115.7,31.98,194,97.5,-3.0,Cloudy
R00719,South,Netherlands,2023-01-30 22:00:00,4G,Vodafone,Router,-83,51,203.0,1.39,1.56,0.2,10.43,275.77,9.35,937,99.37,33.9,Rainy
R00720,South,Italy,2023-01-30 23:00:00,4G,O2,Router,-53,28,157.01,29.42,0.88,0.21,6.57,176.33,109.0,775,99.48,13.4,Rainy
R00721,East,Germany,2023-01-31 00:00:00,4G,Telecom Italia,Smartphone,-93,30,209.52,3.88,0.81,0.08,19.55,11.81,78.21,996,99.95,12.9,Stormy
R00722,East,France,2023-01-31 01:00:00,5G,Vodafone,Tablet,-71,89,130.9,4.69,1.84,0.45,15.18,80.77,57.46,257,95.2,30.2,Cloudy
R00723,South,Germany,2023-01-31 02:00:00,5G,O2,Smartphone,-54,49,32.57,14.78,1.98,0.51,14.06,228.46,46.26,495,95.27,6.1,Stormy
R00724,West,Germany,2023-01-31 03:00:00,5G,Telecom Italia,Router,-80,34,158.02,14.7,1.53,0.34,4.45,25.09,124.34,463,95.95,-3.6,Clear
R00725,North,Germany,2023-01-31 04:00:00,5G,Deutsche Telekom,Smartphone,-75,78,172.66,27.64,1.59,0.41,6.39,297.99,120.35,872,98.28,7.2,Rainy
R00726,North,Spain,2023-01-31 05:00:00,5G,Telecom Italia,Smartphone,-83,67,160.36,2.67,0.42,0.55,12.5,270.39,124.78,851,96.31,24.2,Stormy
R00727,West,Spain,2023-01-31 06:00:00,4G,Deutsche Telekom,Smartphone,-52,113,202.32,28.74,0.38,0.12,16.12,74.91,36.77,285,97.48,37.9,Cloudy
R00728,South,Netherlands,2023-01-31 07:00:00,4G,Vodafone,Router,-60,101,185.56,6.88,1.96,0.56,18.69,269.7,128.53,594,98.93,12.8,Stormy
R00729,East,France,2023-01-31 08:00:00,5G,Telecom Italia,Router,-88,95,113.83,29.12,1.39,0.71,14.26,212.85,147.9,694,95.93,30.9,Cloudy
R00730,North,Italy,2023-01-31 09:00:00,5G,Orange,Smartphone,-52,79,206.58,16.47,1.37,0.87,8.95,133.35,91.88,153,96.43,4.0,Stormy
R00731,Central,Italy,2023-01-31 10:00:00,4G,Orange,Smartphone,-77,87,176.03,19.73,0.57,0.3,14.13,66.87,11.84,91,98.64,33.3,Stormy
R00732,Central,Italy,2023-01-31 11:00:00,5G,Orange,Tablet,-80,76,38.89,9.81,1.77,0.75,2.31,68.06,106.83,180,95.04,29.4,Rainy
R00733,West,Germany,2023-01-31 12:00:00,4G,Orange,Tablet,-84,83,139.57,18.55,0.09,0.61,12.4,182.28,83.03,752,98.79,15.2,Stormy
R00734,South,Spain,2023-01-31 13:00:00,5G,Orange,Smartphone,-76,73,184.85,21.47,0.55,0.5,18.0,130.66,108.25,983,98.38,35.3,Clear
R00735,North,France,2023-01-31 14:00:00,4G,Deutsche Telekom,Router,-78,99,142.79,0.81,0.36,0.92,13.1,182.61,32.29,830,95.65,-3.3,Stormy
R00736,South,Germany,2023-01-31 15:00:00,5G,Telecom Italia,Tablet,-84,106,237.77,1.51,1.42,0.62,1.14,105.77,92.84,805,96.22,30.4,Cloudy
R00737,North,Spain,2023-01-31 16:00:00,5G,Vodafone,Smartphone,-71,94,34.36,29.6,1.43,0.37,14.2,76.72,83.18,441,95.08,-3.4,Cloudy
R00738,West,Spain,2023-01-31 17:00:00,4G,Orange,Tablet,-85,73,183.36,14.0,1.07,0.71,14.8,252.6,92.36,110,97.91,33.9,Clear
R00739,West,France,2023-01-31 18:00:00,4G,Orange,Tablet,-74,78,207.87,28.11,0.01,0.96,11.28,276.81,110.52,719,96.99,3.0,Clear
R00740,Central,France,2023-01-31 19:00:00,5G,Vodafone,Tablet,-62,107,178.64,22.03,1.75,0.92,16.51,214.52,83.91,867,97.12,-3.3,Cloudy
R00741,South,France,2023-01-31 20:00:00,5G,Vodafone,Router,-83,105,102.54,11.5,1.91,0.98,4.84,56.86,51.66,118,95.52,8.9,Stormy
R00742,Central,Germany,2023-01-31 21:00:00,4G,Orange,Smartphone,-58,58,102.52,4.95,0.4,0.1,8.77,36.77,49.81,343,96.76,3.0,Clear
R00743,South,Netherlands,2023-01-31 22:00:00,5G,Deutsche Telekom,Router,-84,34,150.78,29.36,1.68,0.44,16.34,166.33,105.78,492,99.59,24.3,Stormy
R00744,Central,France,2023-01-31 23:00:00,4G,Vodafone,Router,-57,98,105.3,17.74,1.95,0.43,12.47,169.6,101.26,144,95.32,16.3,Clear
R00745,East,Netherlands,2023-02-01 00:00:00,4G,Telecom Italia,Tablet,-60,93,221.96,6.17,0.65,0.38,19.89,195.38,66.19,809,99.87,0.8,Stormy
R00746,East,Germany,2023-02-01 01:00:00,5G,Telecom Italia,Smartphone,-68,47,36.38,20.61,0.37,0.18,2.32,272.79,56.26,307,99.24,36.2,Clear
R00747,East,Netherlands,2023-02-01 02:00:00,4G,Deutsche Telekom,Tablet,-69,55,163.4,3.22,1.96,0.83,5.64,197.57,94.92,618,96.01,11.6,Cloudy
R00748,East,Italy,2023-02-01 03:00:00,4G,O2,Router,-57,73,42.19,26.11,0.12,0.67,4.78,275.68,50.26,312,98.53,7.7,Stormy
R00749,North,Netherlands,2023-02-01 04:00:00,5G,Deutsche Telekom,Router,-83,36,139.64,3.16,0.55,0.61,19.55,44.13,144.67,257,95.45,26.4,Clear
R00750,East,France,2023-02-01 05:00:00,4G,Orange,Smartphone,-53,119,181.74,7.47,1.48,0.45,17.52,215.68,91.49,443,95.8,12.7,Stormy
R00751,West,Germany,2023-02-01 06:00:00,4G,O2,Router,-56,105,49.72,3.2,1.23,0.39,3.53,278.96,90.83,590,97.44,1.5,Rainy
R00752,West,France,2023-02-01 07:00:00,4G,Orange,Router,-69,106,178.97,3.56,1.37,0.79,7.72,144.21,24.77,783,97.0,21.2,Rainy
R00753,North,Italy,2023-02-01 08:00:00,4G,Telecom Italia,Smartphone,-65,112,43.6,15.95,1.42,0.53,2.0,290.58,93.4,539,99.08,-3.6,Clear
R00754,East,France,2023-02-01 09:00:00,5G,Vodafone,Tablet,-94,41,158.93,20.77,1.37,0.61,13.02,170.23,47.76,211,99.7,23.2,Rainy
R00755,East,France,2023-02-01 10:00:00,4G,Orange,Smartphone,-78,94,131.33,23.76,0.68,0.1,7.29,283.46,70.52,505,99.71,34.0,Clear
R00756,East,France,2023-02-01 11:00:00,5G,Telecom Italia,Router,-70,55,81.54,21.0,0.62,0.47,5.89,227.07,83.04,147,95.74,6.8,Clear
R00757,Central,Spain,2023-02-01 12:00:00,4G,Deutsche Telekom,Smartphone,-54,48,36.77,11.22,0.86,0.13,10.94,142.75,74.3,222,98.43,33.4,Rainy
R00758,South,Italy,2023-02-01 13:00:00,5G,Orange,Tablet,-65,74,186.6,16.94,1.62,0.05,16.12,19.94,122.36,688,97.85,6.0,Cloudy
R00759,Central,France,2023-02-01 14:00:00,4G,Telecom Italia,Router,-58,61,101.63,27.87,1.88,0.69,8.67,200.64,19.42,554,96.85,4.1,Clear
R00760,South,France,2023-02-01 15:00:00,5G,Vodafone,Tablet,-74,51,30.77,11.93,0.91,0.27,15.39,83.74,29.26,661,99.97,27.2,Clear
R00761,East,France,2023-02-01 16:00:00,4G,Orange,Tablet,-60,33,195.47,7.95,0.17,0.97,9.48,93.71,27.76,632,97.28,-2.1,Rainy
R00762,East,Germany,2023-02-01 17:00:00,4G,Telecom Italia,Smartphone,-77,37,65.89,15.82,1.88,0.61,5.08,15.74,123.44,747,98.33,-3.2,Stormy
R00763,Central,Spain,2023-02-01 18:00:00,4G,Orange,Tablet,-82,57,186.75,9.27,0.16,0.65,9.48,171.72,22.14,383,97.51,15.5,Rainy
R00764,Central,Germany,2023-02-01 19:00:00,4G,Vodafone,Smartphone,-82,53,145.58,8.22,0.32,0.2,11.22,93.9,145.86,645,95.51,-3.5,Clear
R00765,South,Spain,2023-02-01 20:00:00,5G,Orange,Smartphone,-67,64,56.69,23.47,1.74,0.13,9.77,294.89,145.53,278,95.71,17.4,Stormy
R00766,West,France,2023-02-01 21:00:00,5G,Orange,Tablet,-79,106,28.34,26.78,1.1,0.53,6.21,227.21,148.81,850,98.75,24.2,Stormy
R00767,South,Italy,2023-02-01 22:00:00,4G,Telecom Italia,Smartphone,-59,51,152.38,15.32,0.71,0.93,4.52,113.67,147.05,912,99.01,5.3,Rainy
R00768,Central,Netherlands,2023-02-01 23:00:00,5G,O2,Smartphone,-87,86,16.05,23.5,1.86,0.06,18.99,95.39,26.61,299,96.82,35.4,Stormy
R00769,Central,Netherlands,2023-02-02 00:00:00,4G,Orange,Tablet,-95,82,25.71,6.02,1.92,0.51,6.65,217.34,100.33,658,95.33,4.0,Cloudy
R00770,North,France,2023-02-02 01:00:00,4G,O2,Router,-92,74,178.53,16.66,0.66,0.2,14.4,83.72,62.96,395,99.79,5.7,Cloudy
R00771,Central,Germany,2023-02-02 02:00:00,5G,Deutsche Telekom,Smartphone,-89,62,139.33,19.27,1.74,0.78,7.47,139.92,111.11,779,97.49,36.1,Cloudy
R00772,North,Italy,2023-02-02 03:00:00,5G,Orange,Smartphone,-85,41,88.31,14.97,1.36,0.68,19.42,56.51,63.86,431,95.67,25.9,Clear
R00773,West,Spain,2023-02-02 04:00:00,5G,O2,Tablet,-82,106,139.41,3.95,0.55,0.1,19.78,83.69,60.57,996,95.99,18.8,Rainy
R00774,South,France,2023-02-02 05:00:00,4G,Deutsche Telekom,Smartphone,-54,87,152.0,22.16,1.88,0.62,16.68,38.53,136.07,241,95.23,9.9,Rainy
R00775,South,Italy,2023-02-02 06:00:00,4G,Telecom Italia,Tablet,-77,96,145.67,25.25,0.13,0.98,12.05,133.87,76.71,215,98.55,29.6,Clear
R00776,North,Italy,2023-02-02 07:00:00,5G,Orange,Router,-56,115,164.21,19.24,0.64,0.53,11.3,278.77,112.26,61,98.52,21.5,Clear
